"Selection Sort","Insertion Sort"
4352300,171400
4336600,171300
4409100,171400
4365900,174200
4352500,171300
4310400,171300
4308900,171300
4145300,171200
4151800,171600
4136100,174000
4125700,171300
4109100,171300
6178600,171400
4108600,171400
4299600,174200
4275700,171300
4111600,171400
4101200,171400
4125600,171400
4137200,171300
4703400,181800
4335200,171700
4155300,171500
4126400,171600
4235000,171400
4197800,171400
4125400,174400
4158600,171400
4155100,171600
4126700,171400
4304200,171400
4327800,171400
4298600,174300
4200700,171500
4153700,171400
4144500,171400
4151500,171500
4127800,174400
4124500,171400
4066000,171600
4181500,171400
4124500,171400
4168400,171300
4139800,174400
4154000,171400
4126700,171300
4186800,171400
4144400,171300
4153300,171400
4183600,177600
4163900,171400
4127200,171500
4156400,171300
4194300,171400
4199000,171500
4126000,174400
4153000,171500
4140700,171400
5932300,171300
4191200,171400
4121500,171400
5530900,174300
4231200,171400
4388100,171300
4580600,171300
4403300,171400
4412300,174400
4338400,171400
4422600,171300
4300500,171300
4320300,171300
4372800,171400
4499800,174400
4302600,171300
4327800,171300
4656100,171400
4582100,171300
4497200,171400
4540500,174300
4550100,171300
4510600,171300
4916300,171300
5221800,171300
5178700,171400
5156400,189000
5219800,171400
5158600,171400
5156900,171400
5238700,171300
5175400,174400
5157300,171300
5235000,171200
5444400,171300
5158000,171300
6952000,171300
4903200,174400
4328000,171400
4235400,171400
4300200,171300
4191700,171300
4194400,171400
4223600,174300
4284600,171400
4195500,171400
4198200,171400
6423300,171300
4318400,171300
4267800,175000
4495700,171400
4247800,171300
4292200,171400
4255600,171400
4288400,171300
4226700,174400
4163700,171400
4186500,171300
4143300,171300
4187900,171400
4137100,174400
4394000,171300
4210100,171500
4190700,171300
4137700,171400
4169600,171300
4137200,174400
4165900,171400
4140600,171500
4168500,171300
4138400,171400
4201600,171400
4095200,174500
3979900,171400
4044700,171400
4174600,180200
4138700,164700
4001200,164800
4061600,167600
4026700,164800
4208700,164700
4139500,164800
4044800,164700
4174600,164700
4091500,170700
3946200,164800
4089300,169000
